fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2021-2022,June,15,KARNATAKA,1503,BENGALURU RURAL,554744,243.4552834,28,304,422.1485455,2359,0,11768,554133,75411,25874,29791,7562,79.25,1850.464611,19525,35910,57481,138703,40,100131,235688,14127,1349.066065,264715,75,76.18,77.17,99.96,NA
2021-2022,June,15,KARNATAKA,1510,CHITRADURGA,1985657,244.0938752,24,244,27.18,3680,0,50621,1980090,380257,99372,496874,91019,210.5,5070.958413,79433,139492,184931,455443,42,318250,790422,54301,4833.278413,1018915,68,95.65,94.01,100.91,NA
2021-2022,June,15,KARNATAKA,1521,MANDYA,846834,233.2789521,20,143,108.7068063,2888,0,31362,845412,84294,42042,4520,2767,149.17,2230.045061,41727,68330,149382,366929,14,313565,706429,34250,1972.168254,444392,82,85.1,75.37,100.19,NA
2021-2022,June,15,KARNATAKA,1529,RAMANAGARA,1501430,197.9665261,29,176,366.9695722,3613,0,36735,1496269,199538,51391,25435,5428,90,3419.081332,50945,89149,142211,326480,23,197652,457549,40348,2962.11176,746771,79,75.92,71.37,99.95,NA
2021-2022,June,15,KARNATAKA,1530,Yadgir,1170111,226.9725344,20,156,146.6528301,3498,1,28236,1159526,195580,51754,102016,26610,139.58,2918.038379,55780,85350,133949,259354,19,251519,511659,31734,2631.805549,595723,71,80.98,80.59,100.03,NA
2021-2022,June,15,KARNATAKA,1531,VIJAYANAGARA,3451619,232.5573545,35,609,11.88,3898,0,24407,3797130,899244,110704,812039,88135,0,8842.385075,106080,216215,158668,439015,404,228073,630198,28305,8830.505075,1874931,67,86.24,93.15,100.05,NA
2021-2022,March,15,KARNATAKA,1508,CHAMARAJA NAGARA,3349977,288.0501071,37,780,1734.93448,10119,0,12522,3341408,937077,85906,293355,32567,349.92483,11709.78863,89403,156836,131500,307421,416,218786,513004,22641,9624.929322,1737689,76,79.65,74.28,100.78,NA
2021-2022,March,15,KARNATAKA,1517,HAVERI,5812171,289.9870174,51,655,6984.985595,25957,0,8517,5905188,751155,53894,669700,41540,371.715,24480.97915,115011,233418,150159,368961,13336,251275,600887,34474,17124.27855,2646826,80,55.81,62.2,100.63,NA
2021-2022,March,15,KARNATAKA,1524,SHIVAMOGGA,3950535,289.5239684,37,663,4040.707151,14203,1,13044,4037403,778651,86303,190546,19124,429.12622,16159.08276,108371,199923,159806,404885,5037,236062,561207,27247,11689.24939,1994138,74,76.28,79.98,101.08,NA
2021-2022,Aug,15,KARNATAKA,1501,BAGALKOTE,3467694,271.3533752,33,2329,2891.142594,12832,0,23736,3460041,530612,56190,230409,23302,411.44,12691.52063,102918,179741,149153,333776,487,249097,543809,36568,9388.938035,1754535,70,55.1,68.8,99.96,NA
